Tank number,Treatment Temperature,Treatment pCO2,Measurement date,Temp [degC],QF,Sal [dimensionless],QF,pH,QF,TA [umol kg-1],QF,Nitrite [uM],QC,Nitrate [uM],QC,Ammonium [uM],QC,Silicate [uM],QC,Phosphate [uM],QC,DIC [umol kg-1],QC,pCO2(sw) [uatm],QC,Omega Cal,QC,Omega Arag,QC,HCO3- [umol kg-1],QC,CO32- [umol kg-1],QC,CO2 [umol kg-1],QC
3.2,1000,Amb,12/12/2011,13.25,1,34.93,1,7.773,1,2332.9,1,0.15,1,35.87,1,0.23,1,0.7,1,0.83,1,2272.7,3,1084.1,3,1.65,3,1.05,3,2160.9,3,69.1,3,42.7,3
4.5,1000,Amb,12/12/2011,13.25,1,34.93,1,7.773,1,2142.9,1,0.23,1,70.23,1,1.34,1,2.19,1,0.97,1,2084.7,3,994.4,3,1.51,3,0.97,3,1982.2,3,63.4,3,39.1,3
1.5,1000,Amb,19/12/2011,12.7,1,34.98,1,7.605,1,2283.6,1,0.18,1,17.65,1,0.27,1,1.15,1,0.3,1,2278.1,3,1590.4,3,1.1,3,0.7,3,2168.1,3,46.3,3,63.7,3
2.4,1000,Amb,19/12/2011,12.7,1,34.98,1,7.605,1,2149.3,1,0.2,1,36.76,1,0.54,1,0.79,1,1.25,1,2141.8,3,1495.3,3,1.04,3,0.66,3,2038.4,3,43.5,3,59.9,3
1.5,1000,Amb,09/01/2012,11.43,1,34.9,1,7.913,1,2319.3,1,0.11,1,19.5,1,0.23,1,0.74,1,0.29,1,2220.8,3,747.7,3,2.08,3,1.32,3,2102.5,3,87.1,3,31.2,3
2.4,1000,Amb,09/01/2012,11.43,1,34.9,1,7.913,1,2194.6,1,0.11,1,35.47,1,0.22,1,1.64,1,1.16,1,2098.3,3,706.4,3,1.96,3,1.25,3,1986.5,3,82.3,3,29.5,3
3.2,1000,Amb,09/01/2012,11.43,1,34.9,1,7.913,1,2319.3,1,0.1,1,40.77,1,0.12,1,0.57,1,0.97,1,2220.1,3,747.4,3,2.08,3,1.32,3,2101.8,3,87.1,3,31.2,3
4.5,1000,Amb,09/01/2012,11.43,1,34.9,1,7.913,1,2194.6,1,0.14,1,95.68,1,0.16,1,0.54,1,0.93,1,2098.5,3,706.5,3,1.96,3,1.25,3,1986.7,3,82.3,3,29.5,3
1.5,1000,Amb,18/01/2012,10.28,1,35,1,7.823,1,2204.1,1,0.03,1,11.66,1,0.13,1,0.46,1,0.04,1,2141.8,3,878.6,3,1.57,3,1,3,2037.6,3,66.1,3,38.1,3
2.4,1000,Amb,18/01/2012,10.28,1,35,1,7.823,1,2309.8,1,0.09,1,36.85,1,0.2,1,0.54,1,1.12,1,2245.1,3,920.9,3,1.65,3,1.05,3,2135.9,3,69.3,3,39.9,3
1.5,1000,Amb,24/01/2012,11.47,1,35,1,7.808,1,2185.4,1,0.06,1,8.41,1,0.4,1,0.59,1,0.04,1,2123.4,3,914.4,3,1.57,3,1,3,2019.3,3,66,3,38.1,3
2.4,1000,Amb,24/01/2012,11.47,1,35,1,7.808,1,2300.3,1,0.17,1,40.1,1,0.69,1,0.64,1,1.4,1,2235.4,3,962.6,3,1.65,3,1.05,3,2125.9,3,69.4,3,40.1,3
2.4,1000,Amb,02/02/2012,8.68,1,34.98,1,7.78,1,2163.8,1,0.16,1,36.57,1,0.56,1,0.32,1,1.22,1,2119.6,3,943.4,3,1.34,3,0.85,3,2020.5,3,56.1,3,43,3
1.5,1000,Amb,07/02/2012,10.38,1,34.95,1,7.78,1,2360,1,0.02,1,0.42,1,0.19,1,1.02,1,0.23,1,2309.1,3,1048.5,3,1.54,3,0.98,3,2199,3,64.7,3,45.4,3
2.4,1000,Amb,07/02/2012,10.38,1,34.95,1,7.78,1,2360,2,0.13,1,42.79,1,0.23,1,1.33,1,1.54,1,2307.8,3,1047.9,3,1.54,3,0.98,3,2197.8,3,64.7,3,45.3,3
3.2,1000,Amb,07/02/2012,10.38,1,34.95,1,7.78,1,2360,2,0.07,1,12.35,1,0.12,1,1.13,1,0.74,1,2308.6,3,1048.2,3,1.54,3,0.98,3,2198.6,3,64.7,3,45.3,3
4.5,1000,Amb,07/02/2012,10.38,1,34.95,1,7.78,1,2360,2,0.12,1,45.94,1,0.61,1,0.71,1,0.31,1,2309,3,1048.4,3,1.54,3,0.98,3,2199,3,64.7,3,45.3,3
1.5,1000,Amb,17/02/2012,8.93,1,34.75,1,7.808,1,2208,1,0.09,1,0.38,1,0.3,1,0.3,1,0.07,1,2156.2,3,903.4,3,1.45,3,0.92,3,2054.3,3,61,3,40.9,3
2.4,1000,Amb,17/02/2012,8.93,1,34.75,1,7.808,1,2208,2,0.16,1,35.54,1,0.26,1,0.62,1,0.88,1,2155.4,3,903.1,3,1.45,3,0.92,3,2053.5,3,60.9,3,41,3
1.5,1000,Amb,24/02/2012,9.38,1,34.8,1,7.835,1,2324.9,1,0.04,1,0.16,1,0.14,1,0.62,1,0.18,1,2261.5,3,894.1,3,1.65,3,1.05,3,2152.3,3,69.2,3,40,3
2.4,1000,Amb,24/02/2012,9.38,1,34.8,1,7.835,1,2181.2,1,0.09,1,34.84,1,0.08,1,0.38,1,0.63,1,2119.1,3,837.8,3,1.55,3,0.98,3,2016.9,3,64.8,3,37.4,3
1.5,1000,Amb,02/03/2012,8.65,1,34.78,1,7.853,1,2296,1,0.18,1,1.15,1,0.62,1,2.57,1,0.98,1,2229.4,3,838.3,3,1.65,3,1.05,3,2121.8,3,69.2,3,38.4,3
2.4,1000,Amb,02/03/2012,8.65,1,34.78,1,7.853,1,2231.4,1,0.17,1,23.63,1,0.31,1,3.37,1,0.87,1,2165.8,3,814.4,3,1.6,3,1.02,3,2061.3,3,67.2,3,37.3,3
1.5,1000,Amb,06/03/2012,10.33,1,34.8,1,7.828,1,2275.6,1,0.12,1,0.68,1,0.37,1,0.48,1,0.18,1,2211.2,3,898.3,3,1.64,3,1.04,3,2103.5,3,68.8,3,38.9,3
2.4,1000,Amb,06/03/2012,10.33,1,34.8,1,7.828,1,2176.7,1,0.13,1,22.8,1,0.25,1,0.84,1,0.59,1,2113.2,3,858.5,3,1.57,3,1,3,2010.3,3,65.7,3,37.2,3
3.2,1000,Amb,06/03/2012,10.55,1,35.03,1,7.805,1,2277.9,1,0.08,1,1.15,1,0.15,1,0.71,1,0.17,1,2219,3,952.1,3,1.58,3,1.01,3,2111.7,3,66.4,3,40.9,3
4.5,1000,Amb,06/03/2012,10.55,1,35.03,1,7.805,1,2226.3,1,0.25,1,18.31,1,1.19,1,0.65,1,0.26,1,2167.9,3,930.1,3,1.54,3,0.98,3,2063.1,3,64.9,3,39.9,3
1.5,1000,Amb,16/03/2012,10.43,1,34.7,1,7.828,1,2359.6,1,0.06,1,0.27,1,0.18,1,0.54,1,0.26,1,2294,3,933.7,3,1.7,3,1.08,3,2182.3,3,71.4,3,40.3,3
2.4,1000,Amb,16/03/2012,10.43,1,34.7,1,7.828,1,2359.6,2,0.16,1,21.27,1,0.43,1,0.31,1,0.43,1,2293.8,3,933.6,3,1.7,3,1.08,3,2182.1,3,71.4,3,40.3,3
1.5,1000,Amb,23/03/2012,10.43,1,34.7,1,7.828,1,2359.6,2,0.07,1,0.9,1,0.67,1,1.02,1,0.33,1,2293.9,3,933.7,3,1.7,3,1.08,3,2182.2,3,71.4,3,40.3,3
2.4,1000,Amb,23/03/2012,10.43,1,34.7,1,7.828,1,2359.6,2,0.14,1,16.64,1,0.28,1,2.35,1,0.4,1,2293.8,3,933.7,3,1.7,3,1.08,3,2182.1,3,71.4,3,40.3,3
1.5,1000,Amb,28/03/2012,10.43,1,34.7,1,7.828,1,2359.6,2,0.06,1,0.23,1,0.18,1,0.36,1,0.13,1,2294.1,3,933.8,3,1.7,3,1.08,3,2182.4,3,71.4,3,40.3,3
2.4,1000,Amb,28/03/2012,10.43,1,34.7,1,7.828,1,2359.6,2,0.09,1,13.06,1,0.17,1,0.51,1,0.25,1,2294,3,933.7,3,1.7,3,1.08,3,2182.3,3,71.4,3,40.3,3
1.5,1000,Amb,02/04/2012,10.43,1,34.7,1,7.828,1,2359.6,2,0.08,1,0.37,1,0.25,1,0.13,1,0.12,1,2294.1,3,933.8,3,1.7,3,1.08,3,2182.4,3,71.4,3,40.3,3
2.4,1000,Amb,02/04/2012,10.43,1,34.7,1,7.828,1,2359.6,2,0.1,1,10.85,1,0.17,1,0.14,1,0.26,1,2294,3,933.7,3,1.7,3,1.08,3,2182.3,3,71.4,3,40.3,3
1.5,1000,Amb,12/04/2012,10.43,1,34.7,1,7.828,1,2359.6,2,0.07,1,0.24,1,0.21,1,0.37,1,0.09,1,2294.2,3,933.8,3,1.7,3,1.08,3,2182.4,3,71.4,3,40.4,3
2.4,1000,Amb,12/04/2012,10.43,1,34.7,1,7.828,1,2359.6,2,0.07,1,5.13,1,0.13,1,0.31,1,0.16,1,2294.1,3,933.8,3,1.7,3,1.08,3,2182.4,3,71.4,3,40.3,3
3.2,1000,Amb,12/04/2012,10.43,1,34.7,1,7.828,1,2359.6,2,0.08,1,2.71,1,0.26,1,0.45,1,0.16,1,2294.1,3,933.8,3,1.7,3,1.08,3,2182.4,3,71.4,3,40.3,3
4.5,1000,Amb,12/04/2012,10.43,1,34.7,1,7.828,1,2359.6,2,0.15,1,2.87,1,0.26,1,0.25,1,0.19,1,2294.1,3,933.7,3,1.7,3,1.08,3,2182.3,3,71.4,3,40.4,3
1.5,1000,Amb,16/04/2012,10.43,1,34.7,1,7.828,1,2359.6,2,0.11,1,0.9,1,0.35,1,0.57,1,0.3,1,2294,3,933.7,3,1.7,3,1.08,3,2182.2,3,71.4,3,40.4,3
2.4,1000,Amb,16/04/2012,10.43,1,34.7,1,7.828,1,2359.6,2,0.08,1,4.56,1,0.15,1,0.44,1,0.35,1,2293.9,3,933.7,3,1.7,3,1.08,3,2182.2,3,71.4,3,40.3,3
1.5,1000,Amb,24/04/2012,10.43,1,34.7,1,7.828,1,2359.6,2,0.14,1,0.98,1,0.46,1,0.17,1,0.29,1,2294,3,933.7,3,1.7,3,1.08,3,2182.3,3,71.4,3,40.3,3
2.4,1000,Amb,24/04/2012,10.43,1,34.7,1,7.828,1,2359.6,2,0.12,1,3.49,1,0.2,1,0.26,1,0.38,1,2293.9,3,933.7,3,1.7,3,1.08,3,2182.2,3,71.4,3,40.3,3
3.2,1000,Amb,03/05/2012,10.43,1,34.7,1,7.828,1,2359.6,2,0.1,1,2.32,1,0.06,1,1.06,1,0.19,1,2294.1,3,933.7,3,1.7,3,1.08,3,2182.3,3,71.4,3,40.4,3
4.5,1000,Amb,03/05/2012,10.43,1,34.7,1,7.828,1,2359.6,2,0.11,1,3.67,1,1.25,1,0.86,1,0.21,1,2294,3,933.7,3,1.7,3,1.08,3,2182.3,3,71.4,3,40.3,3
3.2,1000,Amb,28/05/2012,10.43,1,34.7,1,7.828,1,2359.6,2,0.12,1,1.3,1,0.15,1,0.59,1,0.15,1,2294.1,3,933.8,3,1.7,3,1.08,3,2182.4,3,71.4,3,40.3,3
1.3,380,Amb+2,14/02/2011,13.1,1,34.75,1,7.96,1,2368.2,1,0.46,1,16.84,1,8.64,1,5.16,1,0.58,1,2243.7,3,688.9,3,2.46,3,1.57,3,2113.5,3,102.9,3,27.3,3
2.1,380,Amb+2,14/02/2011,13.1,1,34.75,1,7.96,1,2368.2,2,0.24,1,9.04,1,12.92,1,5.98,1,0.51,1,2243.7,3,688.9,3,2.46,3,1.57,3,2113.5,3,102.9,3,27.3,3
3.4,380,Amb+2,14/02/2011,13.1,1,34.75,1,7.96,1,2347.9,1,0.32,1,10.26,1,13.09,1,5.86,1,0.91,1,2223.7,3,682.7,3,2.43,3,1.56,3,2094.6,3,102,3,27.1,3
4.3,380,Amb+2,14/02/2011,13.1,1,34.75,1,7.96,1,2356.6,1,0.21,1,9.13,1,12.53,1,6.27,1,0.51,1,2232.5,3,685.4,3,2.44,3,1.56,3,2102.9,3,102.4,3,27.2,3
1.3,380,Amb+2,21/02/2011,12.78,1,34.7,1,7.96,1,2356.6,2,2.4,1,25.53,1,18.35,1,2.67,1,1.48,1,2233.4,3,683.6,3,2.42,3,1.54,3,2104.8,3,101.2,3,27.4,3
2.1,380,Amb+2,21/02/2011,12.78,1,34.7,1,7.96,1,2356.6,2,1.22,1,14.63,1,23.71,1,6.06,1,1.2,1,2233.6,3,683.7,3,2.42,3,1.54,3,2105,3,101.2,3,27.4,3
1.3,380,Amb+2,28/02/2011,12.38,1,34.83,1,7.995,1,2356.6,2,5.07,1,30.31,1,21.32,1,1.82,1,1.74,1,2221.2,3,622.2,3,2.57,3,1.64,3,2088.2,3,107.7,3,25.3,3
2.1,380,Amb+2,28/02/2011,12.38,1,34.83,1,7.995,1,2356.6,2,3.17,1,23.15,1,28,1,6.59,1,1.3,1,2221.5,3,622.3,3,2.57,3,1.64,3,2088.5,3,107.8,3,25.2,3
1.3,380,Amb+2,07/03/2011,12.13,1,34.78,1,7.915,1,2356.6,2,7.21,1,31.55,1,26.07,1,0.98,1,1.49,1,2252.6,3,761.3,3,2.16,3,1.38,3,2131,3,90.5,3,31.1,3
2.1,380,Amb+2,07/03/2011,12.13,1,34.78,1,7.915,1,2356.6,2,9.45,1,34.71,1,31.65,1,7.91,1,1.48,1,2252.5,3,761.3,3,2.16,3,1.38,3,2130.9,3,90.5,3,31.1,3
3.4,380,Amb+2,07/03/2011,12.13,1,34.78,1,7.915,1,2356.6,2,18.42,1,41.65,1,21.13,1,5.26,1,2.53,1,2251.5,3,761,3,2.16,3,1.38,3,2129.9,3,90.5,3,31.1,3
4.3,380,Amb+2,07/03/2011,12.13,1,34.78,1,7.915,1,2356.6,2,7.75,1,28.98,1,33.46,1,6.05,1,1.02,1,2253,3,761.5,3,2.16,3,1.38,3,2131.4,3,90.6,3,31,3
1.3,380,Amb+2,14/03/2011,11.5,1,34.85,1,7.893,1,2356.6,2,14.08,1,46.32,1,25.16,1,1.09,1,1.84,1,2262.5,3,799.5,3,2.02,3,1.29,3,2144.3,3,84.9,3,33.3,3
2.1,380,Amb+2,14/03/2011,11.5,1,34.85,1,7.893,1,2356.6,2,28.83,1,54.13,1,24.75,1,7.58,1,1.57,1,2262.7,3,799.5,3,2.03,3,1.29,3,2144.4,3,84.9,3,33.4,3
1.3,380,Amb+2,21/03/2011,11.43,1,34.9,1,7.745,1,2356.6,2,28.98,1,57.62,1,12.31,1,0.86,1,1.59,1,2311.5,3,1152.6,3,1.48,3,0.94,3,2201.5,3,61.9,3,48.1,3
2.1,380,Amb+2,21/03/2011,11.43,1,34.9,1,7.745,1,2356.6,2,61.24,1,85.19,1,2.53,1,7.59,1,1.45,1,2311.6,3,1152.7,3,1.48,3,0.94,3,2201.5,3,61.9,3,48.2,3
1.3,380,Amb+2,30/03/2011,12.08,1,35.23,1,8.065,1,2356.6,2,29.18,1,69.5,1,2.24,1,1.34,1,1.42,1,2192.6,3,516,3,2.95,3,1.89,3,2047.4,3,124.2,3,21,3
2.1,380,Amb+2,30/03/2011,12.08,1,35.23,1,8.065,1,2356.6,2,62.55,1,93.09,1,2.01,1,7.23,1,1.11,1,2192.8,3,516.1,3,2.95,3,1.89,3,2047.5,3,124.2,3,21.1,3
1.3,380,Amb+2,04/04/2011,11.08,1,35,1,8.065,1,2356.6,2,19.82,1,81.94,1,1.35,1,0.64,1,1.54,1,2199.3,3,513.2,3,2.85,3,1.82,3,2057.8,3,119.8,3,21.7,3
2.1,380,Amb+2,04/04/2011,11.08,1,35,1,8.065,1,2356.6,2,60.69,1,96.53,1,1.77,1,5.92,1,1.1,1,2199.6,3,513.3,3,2.85,3,1.82,3,2058.1,3,119.9,3,21.6,3
3.4,380,Amb+2,04/04/2011,11.08,1,35,1,8.065,1,2356.6,2,34.74,1,72.19,1,1.69,1,0.68,1,2.21,1,2198.6,3,513,3,2.85,3,1.82,3,2057.2,3,119.8,3,21.6,3
4.3,380,Amb+2,04/04/2011,11.08,1,35,1,8.065,1,2356.6,2,47.22,1,66.85,1,2.32,1,0.72,1,0.73,1,2200.1,3,513.4,3,2.86,3,1.82,3,2058.6,3,119.9,3,21.6,3
1.3,380,Amb+2,11/04/2011,10.73,1,35.1,1,8.025,1,2356.6,2,6.03,1,99.38,1,1.41,1,0.7,1,1.59,1,2216.7,3,566.8,3,2.61,3,1.66,3,2082.9,3,109.6,3,24.2,3
2.1,380,Amb+2,11/04/2011,10.73,1,35.1,1,8.025,1,2356.6,2,64.89,1,119.46,1,1.4,1,5.77,1,1.02,1,2217.2,3,566.9,3,2.61,3,1.66,3,2083.4,3,109.6,3,24.2,3
1.3,380,Amb+2,19/04/2011,10.5,1,35.05,1,8.025,1,2356.6,2,2.51,1,132.68,1,1.39,1,0.64,1,2.05,1,2217.7,3,565.9,3,2.59,3,1.65,3,2084.7,3,108.7,3,24.3,3
2.1,380,Amb+2,19/04/2011,10.5,1,35.05,1,8.025,1,2356.6,2,45.96,1,139.79,1,1.43,1,5.73,1,1.24,1,2218.4,3,566.1,3,2.59,3,1.65,3,2085.3,3,108.7,3,24.4,3
1.3,380,Amb+2,04/05/2011,12.83,1,35.13,1,7.955,1,2356.6,2,0.32,1,93.07,1,1.33,1,1.87,1,1.81,1,2232.7,3,689.7,3,2.41,3,1.54,3,2103.8,3,101.4,3,27.5,3
2.1,380,Amb+2,04/05/2011,12.83,1,35.13,1,7.955,1,2356.6,2,0.69,1,128.78,1,1.58,1,3.75,1,1.2,1,2233.3,3,689.9,3,2.41,3,1.54,3,2104.4,3,101.4,3,27.5,3
1.3,380,Amb+2,10/05/2011,11.4,1,35.35,1,7.825,1,2356.6,2,0.27,1,102.99,1,1.59,1,1.34,1,1.98,1,2283.8,3,942.1,3,1.76,3,1.13,3,2170.2,3,74.2,3,39.4,3
2.1,380,Amb+2,10/05/2011,11.4,1,35.35,1,7.825,1,2356.6,2,0.28,1,129.69,1,1.36,1,2.31,1,1.08,1,2284.6,3,942.5,3,1.77,3,1.13,3,2171.1,3,74.3,3,39.2,3
3.4,380,Amb+2,10/05/2011,11.4,1,35.35,1,7.825,1,2356.6,2,0.39,1,88.17,1,2.75,1,1.89,1,2.08,1,2283.6,3,942.1,3,1.76,3,1.13,3,2170.1,3,74.2,3,39.3,3
4.3,380,Amb+2,10/05/2011,11.4,1,35.35,1,7.825,1,2356.6,2,0.48,1,124.37,1,1.58,1,0.72,1,0.98,1,2284.8,3,942.5,3,1.77,3,1.13,3,2171.2,3,74.3,3,39.3,3
1.3,380,Amb+2,16/05/2011,11.73,1,35.38,1,7.775,1,2395.6,1,0.4,1,108.89,1,2.14,1,0.62,1,1.6,1,2337.7,3,1087.4,3,1.63,3,1.04,3,2224.2,3,68.6,3,44.9,3
2.1,380,Amb+2,16/05/2011,11.73,1,35.38,1,7.775,1,2395.6,2,0.47,1,124.02,1,2.73,1,5.81,1,2.84,1,2336.4,3,1086.8,3,1.63,3,1.04,3,2223,3,68.6,3,44.8,3
1.3,380,Amb+2,23/05/2011,11.43,1,35.35,1,7.878,1,2395.6,2,0.78,1,84.68,1,3.3,1,0.91,1,1.58,1,2304.3,3,839.7,3,2.01,3,1.28,3,2184.8,3,84.5,3,35,3
2.1,380,Amb+2,23/05/2011,11.43,1,35.35,1,7.878,1,2395.6,2,0.34,1,104.45,1,1.74,1,3.68,1,1.86,1,2304,3,839.6,3,2.01,3,1.28,3,2184.5,3,84.5,3,35,3
1.3,380,Amb+2,01/06/2011,11.1,1,35.48,1,7.863,1,2395.6,2,0.3,1,95.14,1,2.4,1,0.64,1,1.73,1,2310.3,3,868.2,3,1.93,3,1.23,3,2192.5,3,81.3,3,36.5,3
2.1,380,Amb+2,01/06/2011,11.1,1,35.48,1,7.863,1,2395.6,2,0.19,1,124.96,1,1.21,1,1.01,1,1.11,1,2310.9,3,868.4,3,1.93,3,1.23,3,2193.1,3,81.3,3,36.5,3
1.3,380,Amb+2,06/06/2011,12.73,1,35.35,1,7.89,1,2395.6,2,0.1,1,78.4,1,0.74,1,2.41,1,1.3,1,2294.5,3,824.6,3,2.15,3,1.37,3,2171.2,3,90.3,3,33,3
2.1,380,Amb+2,06/06/2011,12.73,1,35.35,1,7.89,1,2395.6,2,0.18,1,126.17,1,1.14,1,1.07,1,1.11,1,2294.7,3,824.7,3,2.15,3,1.37,3,2171.4,3,90.3,3,33,3
3.4,380,Amb+2,06/06/2011,12.73,1,35.35,1,7.89,1,2395.6,2,0.12,1,92.9,1,1.04,1,0.76,1,1.47,1,2294.3,3,824.5,3,2.15,3,1.37,3,2171.1,3,90.3,3,32.9,3
4.3,380,Amb+2,06/06/2011,12.73,1,35.35,1,7.89,1,2395.6,2,0.14,1,110.03,1,1.18,1,0.76,1,1.22,1,2294.6,3,824.6,3,2.15,3,1.37,3,2171.3,3,90.3,3,33,3
1.3,380,Amb+2,15/06/2011,13.08,1,35.5,1,7.89,1,2395.6,2,0.14,1,75.1,1,1.68,1,1.19,1,1.47,1,2292.1,3,826,3,2.18,3,1.39,3,2167.8,3,91.6,3,32.7,3
2.1,380,Amb+2,15/06/2011,13.08,1,35.5,1,7.89,1,2395.6,2,0.16,1,107.55,1,1.18,1,1.11,1,0.99,1,2292.5,3,826.2,3,2.18,3,1.39,3,2168.3,3,91.6,3,32.6,3
1.1,380,Amb+2,20/06/2011,13.9,1,35.28,1,7.943,1,2395.6,2,0.09,1,66.79,1,1.64,1,1.29,1,2.01,1,2268.8,3,728.7,3,2.48,3,1.59,3,2136.5,3,104.3,3,28,3
1.3,380,Amb+2,20/06/2011,13.9,1,35.28,1,7.943,1,2395.6,2,0.1,1,78.2,1,0.87,1,0.63,1,1.43,1,2269.4,3,728.9,3,2.48,3,1.59,3,2137,3,104.3,3,28.1,3
1.1,380,Amb+2,27/06/2011,13.43,1,35.15,1,8.043,1,2395.6,2,0.13,1,80.96,1,1.31,1,0.65,1,1.7,1,2231.8,3,561.9,3,2.99,3,1.91,3,2084.2,3,125.6,3,22,3
1.3,380,Amb+2,27/06/2011,13.43,1,35.15,1,8.043,1,2395.6,2,0.08,1,54.53,1,0.65,1,0.82,1,1.55,1,2231.9,3,561.9,3,2.99,3,1.91,3,2084.3,3,125.6,3,22,3
1.1,380,Amb+2,04/07/2011,13.85,1,35.4,1,8.023,1,2395.6,2,0.15,1,87.12,1,1.39,1,1.67,1,2.03,1,2236.1,3,592.2,3,2.92,3,1.87,3,2090.4,3,122.9,3,22.8,3
1.3,380,Amb+2,04/07/2011,13.85,1,35.4,1,8.023,1,2395.6,2,0.1,1,52.84,1,0.81,1,0.65,1,1.43,1,2236.8,3,592.4,3,2.92,3,1.87,3,2091,3,122.9,3,22.9,3
4.2,380,Amb+2,04/07/2011,13.85,1,35.4,1,8.023,1,2395.6,2,0.12,1,45.34,1,1.01,1,1.22,1,0.71,1,2237.5,3,592.6,3,2.92,3,1.87,3,2091.7,3,122.9,3,22.9,3
4.3,380,Amb+2,04/07/2011,13.85,1,35.4,1,8.023,1,2152.5,1,0.12,1,69.05,1,1.07,1,1.02,1,1.23,1,2004.3,3,530.8,3,2.62,3,1.68,3,1873.7,3,110.1,3,20.5,3
1.1,380,Amb+2,11/07/2011,16.48,1,35.1,1,8.048,1,2152.5,2,0.15,1,92.4,1,1.55,1,1.68,1,2.17,1,1981.2,3,508.3,3,2.96,3,1.9,3,1839,3,124,3,18.2,3
1.3,380,Amb+2,11/07/2011,16.48,1,35.1,1,8.048,1,2152.5,2,0.1,1,51.03,1,0.94,1,2.4,1,1.98,1,1981.4,3,508.3,3,2.96,3,1.91,3,1839.2,3,124,3,18.2,3
1.1,380,Amb+2,09/08/2011,16.48,1,35.1,1,8.048,1,2152.5,2,0.14,1,70.45,1,0.88,1,0.72,1,1.29,1,1982.1,3,508.5,3,2.96,3,1.91,3,1839.9,3,124.1,3,18.1,3
